id,user_id,group_name,start_time,submit_time,duration_sec,score,completed,satisfaction,ease_of_use,q1,q2,q3,q4,q5,created_at
7,1776377177_90285,B,2026-04-16 18:06:17.799408,2026-04-16 18:06:55.805183,38.005774974823,5,1,4,5,Dolphin,Asia,Water,1/3,4,2026-04-16 22:07:01.917325+00
8,1776377402_55428,A,2026-04-16 22:10:02.10855,2026-04-16 22:10:42.252965,40.1444153785706,5,1,5,5,Dolphin,Asia,Water,1/3,4,2026-04-16 22:10:50.118863+00
9,1776377437_44387,B,2026-04-16 22:10:37.145804,2026-04-16 22:11:38.598595,61.4527907371521,3,1,4,5,Dolphin,Africa,Water,1/6,4,2026-04-16 22:11:49.225216+00
10,1776377793_37256,B,2026-04-16 22:16:33.846366,2026-04-16 22:17:59.43975,85.5933842658997,5,1,5,5,Dolphin,Asia,Water,1/3,4,2026-04-16 22:18:06.815198+00
11,1776377773_26377,A,2026-04-16 22:16:13.266878,2026-04-16 22:19:20.594086,187.327207565308,4,1,4,4,Dolphin,Asia,Water,1/6,4,2026-04-16 22:19:29.287441+00
12,1776379403_51644,A,2026-04-16 22:43:23.514926,2026-04-16 22:46:45.442057,201.927131175995,4,1,5,5,Dolphin,Asia,Water,1/3,3,2026-04-16 22:47:04.294398+00
13,1776379403_51644,A,2026-04-16 22:43:23.514926,2026-04-16 22:47:16.928427,233.413501024246,4,1,5,5,Dolphin,Asia,Water,1/3,3,2026-04-16 22:47:21.547142+00
14,1776391306_66914,A,2026-04-17 02:01:46.707118,2026-04-17 02:03:46.130666,119.423548698425,5,1,3,3,Dolphin,Asia,Water,1/3,4,2026-04-17 02:04:01.865975+00
15,1776394592_96631,B,2026-04-17 02:56:32.862201,2026-04-17 02:58:11.352744,98.4905424118042,5,1,2,3,Dolphin,Asia,Water,1/3,4,2026-04-17 02:58:25.80978+00
16,1776394720_84217,A,2026-04-17 02:58:40.01471,2026-04-17 03:01:13.653972,153.639261722565,5,1,5,5,Dolphin,Asia,Water,1/3,4,2026-04-17 03:01:27.015314+00
17,1776394896_38308,A,2026-04-17 03:01:36.209536,2026-04-17 03:02:37.461975,61.2524385452271,4,1,3,3,Dolphin,Europe,Water,1/3,4,2026-04-17 03:02:45.264866+00
18,1776394985_28342,B,2026-04-17 03:03:05.856404,2026-04-17 03:04:01.84293,55.9865255355835,5,1,3,3,Dolphin,Asia,Water,1/3,4,2026-04-17 03:04:09.668023+00
19,1776394933_73774,B,2026-04-17 03:02:13.652786,2026-04-17 03:04:01.161972,107.509186029434,4,1,3,3,Dolphin,Asia,Oxygen,1/3,4,2026-04-17 03:04:12.879249+00
20,1776395030_40089,A,2026-04-17 03:03:50.144481,2026-04-17 03:04:29.415445,39.2709639072418,4,1,3,3,Dolphin,Asia,Water,1/6,4,2026-04-17 03:04:45.906433+00
21,1776395024_15941,B,2026-04-17 03:03:44.949498,2026-04-17 03:05:04.833594,79.8840954303741,5,1,3,3,Dolphin,Asia,Water,1/3,4,2026-04-17 03:05:23.500418+00
22,1776395040_16434,A,2026-04-17 03:04:00.780172,2026-04-17 03:05:27.400095,86.6199231147766,5,1,5,5,Dolphin,Asia,Water,1/3,4,2026-04-17 03:05:37.86853+00
23,1776395040_16434,A,2026-04-17 03:04:00.780172,2026-04-17 03:05:27.400095,86.6199231147766,5,1,5,5,Dolphin,Asia,Water,1/3,4,2026-04-17 03:05:39.761709+00
24,1776395040_16434,A,2026-04-17 03:04:00.780172,2026-04-17 03:05:27.400095,86.6199231147766,5,1,5,5,Dolphin,Asia,Water,1/3,4,2026-04-17 03:05:41.676927+00
25,1776395040_16434,A,2026-04-17 03:04:00.780172,2026-04-17 03:05:27.400095,86.6199231147766,5,1,5,5,Dolphin,Asia,Water,1/3,4,2026-04-17 03:05:43.558804+00
26,1776395040_16434,A,2026-04-17 03:04:00.780172,2026-04-17 03:05:27.400095,86.6199231147766,5,1,5,5,Dolphin,Asia,Water,1/3,4,2026-04-17 03:05:45.411512+00
27,1776395040_16434,A,2026-04-17 03:04:00.780172,2026-04-17 03:05:27.400095,86.6199231147766,5,1,5,5,Dolphin,Asia,Water,1/3,4,2026-04-17 03:05:47.183914+00
28,1776395020_72006,B,2026-04-17 03:03:40.21885,2026-04-17 03:06:04.809539,144.5906894207,2,1,3,3,Dolphin,Europe,Oxygen,1/3,2,2026-04-17 03:06:09.218626+00
29,1776395020_72006,B,2026-04-17 03:03:40.21885,2026-04-17 03:06:04.809539,144.5906894207,2,1,3,3,Dolphin,Europe,Oxygen,1/3,2,2026-04-17 03:06:11.476048+00
30,1776395005_12973,B,2026-04-17 03:03:25.381191,2026-04-17 03:06:06.865957,161.484765529633,4,1,3,4,Dolphin,Asia,Water,2/3,4,2026-04-17 03:06:26.309496+00
31,1776395159_51842,B,2026-04-17 03:05:59.558569,2026-04-17 03:06:42.603899,43.0453293323517,5,1,3,3,Dolphin,Asia,Water,1/3,4,2026-04-17 03:06:48.580654+00
32,1776396456_34386,B,2026-04-17 03:27:36.743161,2026-04-17 03:29:21.002451,104.259290456772,4,1,4,4,Dolphin,Antarctica,Water,1/3,4,2026-04-17 03:29:34.114241+00
33,1776396622_18974,A,2026-04-17 03:30:22.655849,2026-04-17 03:31:03.60741,40.9515612125397,5,1,5,4,Dolphin,Asia,Water,1/3,4,2026-04-17 03:31:17.029332+00
